link,iela,istabuSkaits,laukumsM2,stavs,serija,cenaM2,cena
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/heock.html ,Dzelzavas 104,2,46,7/8,Jaun.,2393,110100
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/eghim.html ,Staiceles 1/2,2,51,9/9,602.,998,50900
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/emjln.html ,Lielvārdes 121,3,59,1/5,LT proj.,897,52900
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/fgbob.html ,Madonas 21,3,85,3/18,Specpr.,1041,88500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/ehxdc.html ,Vaidavas 2k5,1,30,3/5,Hrušč.,1383,41500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/fxibm.html ,Raunas 37,2,42,1/5,Hrušč.,929,39000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/bhedp.html ,Zvaigznāja g. 4,3,66,2/5,LT proj.,1189,78500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/aekcd.html ,Marsa g. 3,3,67,4/5,119.,1000,67000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/dxcbp.html ,Vējavas 3,2,46,1/2,Hrušč.,970,44598
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/gfokd.html ,Astras 8/1,4,90,6/24,Jaun.,2689,242000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/bcodc.html ,Žagatu 20a,2,50,2/9,602.,890,44500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/dnocc.html ,Ūnijas 7,1,25,1/2,P. kara,780,19500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/ahehd.html ,Ūnijas 60,2,39,4/5,LT proj.,941,36700
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/dbbgp.html ,Staiceles 1k-2,2,51,1/9,602.,1055,53800
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/cghlb.html ,Deglava 13,1,22,5/6,Renov.,1670,36750
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/ekfin.html ,Deglava 13,2,30,6/6,Renov.,1617,48500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/hcikx.html ,Deglava 13,2,34,5/6,Renov.,1675,56950
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/ecegk.html ,Staiceles 1 k2,2,51,1/9,602.,1055,53800
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/clplh.html ,Staiceles 1 k-2,2,51,1/9,602.,1055,53800
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/achdh.html ,Staiceles 1 k-2,2,51,9/9,602.,1000,50990
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/bepdh.html ,Žagatu 22,2,45,1/5,LT proj.,844,38000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/cdxpm.html ,Nīcgales 31,3,74,4/9,119.,851,63000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/hhinm.html ,Pūces 45,3,95,1/8,Jaun.,1758,167000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/oofnx.html ,Mārcienas 1,3,74,5/9,119.,777,57500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/bfccem.html ,Dzelzavas 25,2,50,1/9,602.,1038,51900
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/emxnn.html ,Brantkalna 19,4,100,8/12,104.,1150,115000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/dmkmn.html ,Dudajeva g. 5,3,59,3/5,LT proj.,1042,61500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/acxdx.html ,Madonas 21,1,57,8/16,Specpr.,737,42000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/agidi.html ,Nīcgales 53,2,50,1/2,Hrušč.,1130,56500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/bffklf.html ,Stirnu 12a,2,65,1/3,Jaun.,1908,124000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/ckdpg.html ,Dzelzavas 76 k-1,3,63,1/1,602.,1159,73000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/cbmed.html ,Ieriķu 58,1,37,2/9,Specpr.,1095,40500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/efejx.html ,Stirnu 17A,3,62,2/9,602.,853,52900
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/adjpl.html ,Dzelzavas 23,4,78,3/9,602.,1205,94000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/bebbpe.html ,Ieriķu 39,2,42,2/5,LT proj.,1310,55000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/fcebg.html ,Dzelzavas 74k-1,2,51,1/9,Jaun.,1863,95000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/bcpnjb.html ,Stirnu 21,2,48,4/5,LT proj.,1248,59900
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/blfpo.html ,Ilūkstes 101,2,53,2/5,103.,1462,77500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/fjidj.html ,Braslas 53,3,70,1/6,Jaun.,1629,114000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/ffmkj.html ,Ūnijas 70,1,32,4/5,LT proj.,984,31500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/aelmd.html ,Stirnu 35,2,50,8/9,602.,1036,51800
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/idjno.html ,Ūnijas 32,1,14,1/2,Specpr.,786,11000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/glfjm.html ,Pūces 45,2,73,4/9,Jaun.,1781,130000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/ixjkh.html ,Nīcgales 46,2,53,2/5,103.,1302,69000
